name,weaknesses,resistances
mega-pidgeot,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
mega-pinsir,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
mega-rayquaza,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
mega-sableye,Fairy,"Fighting, Normal, Poison, Psychic"
mega-salamence,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
mega-sceptile,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
mega-scizor,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
mega-sharpedo,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
mega-slowbro,"Bug, Dark, Electric, Ghost, Grass","Fighting, Fire, Ice, Psychic, Steel, Water"
mega-steelix,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
mega-swampert,Grass,"Electric, Fire, Poison, Rock, Steel"
mega-tyranitar,"Bug, Fairy, Fighting, Grass, Ground, Steel, Water","Dark, Fire, Flying, Ghost, Normal, Poison, Psychic"
mega-venusaur,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
meganium,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
melmetal,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
meloetta-aria-forme,"Bug, Dark","Ghost, Psychic"
meloetta-pirouette-forme,"Fairy, Fighting, Flying, Psychic","Bug, Dark, Ghost, Rock"
meltan,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
meowscarada,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
meowstic-female,"Bug, Dark, Ghost","Fighting, Psychic"
meowstic-male,"Bug, Dark, Ghost","Fighting, Psychic"
meowth,Fighting,Ghost
mesprit,"Bug, Dark, Ghost","Fighting, Psychic"
metagross,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
metang,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
metapod,"Fire, Flying, Rock","Fighting, Grass, Ground"
mew,"Bug, Dark, Ghost","Fighting, Psychic"
mewtwo,"Bug, Dark, Ghost","Fighting, Psychic"
mienfoo,"Fairy, Flying, Psychic","Bug, Dark, Rock"
mienshao,"Fairy, Flying, Psychic","Bug, Dark, Rock"
mightyena,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
milcery,"Poison, Steel","Bug, Dark, Dragon, Fighting"
milotic,"Electric, Grass","Fire, Ice, Steel, Water"
miltank,Fighting,Ghost
mime-jr,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
mimikyu,"Ghost, Steel","Bug, Dragon, Fighting, Normal"
minccino,Fighting,Ghost
minior-core,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
minior-meteor-form,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
minun,Ground,"Electric, Flying, Steel"
miraidon,"Dragon, Fairy, Ground, Ice","Electric, Fire, Flying, Grass, Steel, Water"
misdreavus,"Dark, Ghost","Bug, Fighting, Normal, Poison"
mismagius,"Dark, Ghost","Bug, Fighting, Normal, Poison"
moltres,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
monferno,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
morelull,"Fire, Flying, Ice, Poison, Steel","Dark, Dragon, Electric, Fighting, Grass, Ground, Water"
morgrem,"Fairy, Poison, Steel","Dark, Dragon, Ghost, Psychic"
morpeko,"Bug, Fairy, Fighting, Ground","Dark, Electric, Flying, Ghost, Psychic, Steel"
mothim,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
mr-mime,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
mr-rime,"Bug, Dark, Fire, Ghost, Rock, Steel","Ice, Psychic"
mudbray,"Grass, Ice, Water","Electric, Poison, Rock"
mudkip,"Electric, Grass","Fire, Ice, Steel, Water"
mudsdale,"Grass, Ice, Water","Electric, Poison, Rock"
muk,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
munchlax,Fighting,Ghost
munkidori,"Dark, Ghost, Ground","Fairy, Fighting, Grass, Poison"
munna,"Bug, Dark, Ghost","Fighting, Psychic"
murkrow,"Electric, Fairy, Ice, Rock","Dark, Ghost, Grass, Ground, Psychic"
musharna,"Bug, Dark, Ghost","Fighting, Psychic"
nacli,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
naclistack,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
naganadel,"Dragon, Ground, Ice, Psychic","Bug, Electric, Fighting, Fire, Grass, Poison, Water"
natu,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
necrozma,"Bug, Dark, Ghost","Fighting, Psychic"
nickit,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
nidoking,"Ground, Ice, Psychic, Water","Bug, Electric, Fairy, Fighting, Poison, Rock"
nidoqueen,"Ground, Ice, Psychic, Water","Bug, Electric, Fairy, Fighting, Poison, Rock"
nidoranfemale,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
nidoranmale,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
nidorina,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
nidorino,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
nihilego,"Ground, Psychic, Steel, Water","Bug, Fairy, Fire, Flying, Normal, Poison"
nincada,"Fire, Flying, Ice, Water","Electric, Fighting, Ground, Poison"
ninetales,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
ninjask,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
noctowl,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
noibat,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
noivern,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
nosepass,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
numel,"Ground, Water","Bug, Electric, Fairy, Fire, Poison, Steel"
nuzleaf,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
nymble,"Fire, Flying, Rock","Fighting, Grass, Ground"
obstagoon,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
octillery,"Electric, Grass","Fire, Ice, Steel, Water"
oddish,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
ogerpon-cornerstone-mask,"Bug, Fighting, Ice, Steel","Electric, Normal"
ogerpon-hearthflame-mask,"Flying, Poison, Rock","Electric, Fairy, Grass, Steel"
ogerpon-wellspring-mask,"Bug, Flying, Poison","Ground, Steel, Water"
ogerpon,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
oinkologne-female,Fighting,Ghost
oinkologne-male,Fighting,Ghost
okidogi,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
omanyte,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
omastar,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
onix,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
oranguru,"Bug, Dark","Ghost, Psychic"
orbeetle,"Bug, Dark, Fire, Flying, Ghost, Rock","Fighting, Grass, Ground, Psychic"
oricorio-baile-style,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
oricorio-pa-039-u-style,"Dark, Electric, Ghost, Ice, Rock","Fighting, Grass, Ground, Psychic"
oricorio-pom-pom-style,"Ice, Rock","Bug, Fighting, Flying, Grass, Ground, Steel"
oricorio-sensu-style,"Dark, Electric, Ghost, Ice, Rock","Bug, Fighting, Grass, Ground, Normal, Poison"
orthworm,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
oshawott,"Electric, Grass","Fire, Ice, Steel, Water"
overqwil,Ground,"Dark, Ghost, Grass, Poison, Psychic"
pachirisu,Ground,"Electric, Flying, Steel"
palafin-hero-form,"Electric, Grass","Fire, Ice, Steel, Water"
palafin-zero-form,"Electric, Grass","Fire, Ice, Steel, Water"
paldean-tauros-aqua-breed,"Electric, Ground, Rock","Bug, Fairy, Fire, Ice, Steel"
paldean-tauros-blaze-breed,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
paldean-tauros-combat-breed,"Fairy, Flying, Psychic","Bug, Dark, Rock"
paldean-wooper,"Ground, Ice, Psychic, Water","Bug, Electric, Fairy, Fighting, Poison, Rock"
palkia-origin-forme,"Dragon, Fairy","Fire, Steel, Water"
palkia,"Dragon, Fairy","Fire, Steel, Water"
palossand,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
palpitoad,Grass,"Electric, Fire, Poison, Rock, Steel"
pancham,"Fairy, Flying, Psychic","Bug, Dark, Rock"
pangoro,"Fairy, Fighting, Flying","Dark, Ghost, Psychic, Rock"
panpour,"Electric, Grass","Fire, Ice, Steel, Water"
pansage,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
pansear,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
paras,"Bug, Fire, Flying, Ice, Poison, Rock","Electric, Fighting, Grass, Ground, Water"
parasect,"Bug, Fire, Flying, Ice, Poison, Rock","Electric, Fighting, Grass, Ground, Water"
passimian,"Fairy, Flying, Psychic","Bug, Dark, Rock"
patrat,Fighting,Ghost
pawmi,Ground,"Electric, Flying, Steel"
pawmo,Ground,"Electric, Flying, Steel"
pawmot,"Fairy, Ground, Psychic","Bug, Dark, Electric, Rock, Steel"
pawniard,"Fighting, Fire, Ground","Dark, Dragon, Flying, Ghost, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
pelipper,"Electric, Rock","Bug, Fighting, Fire, Ground, Steel, Water"
perrserker,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
persian,Fighting,Ghost
petilil,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
phanpy,"Grass, Ice, Water","Electric, Poison, Rock"
phantump,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
pheromosa,"Fairy, Fire, Flying, Psychic","Bug, Dark, Fighting, Grass, Ground"
phione,"Electric, Grass","Fire, Ice, Steel, Water"
pichu,Ground,"Electric, Flying, Steel"
pidgeot,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
pidgeotto,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
pidgey,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
pidove,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
pignite,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
pikachu-libre,Ground,"Electric, Flying, Steel"
pikachu,Ground,"Electric, Flying, Steel"
pikipek,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
piloswine,"Fighting, Fire, Grass, Steel, Water","Electric, Poison"
pincurchin,Ground,"Electric, Flying, Steel"
pineco,"Fire, Flying, Rock","Fighting, Grass, Ground"
pinsir,"Fire, Flying, Rock","Fighting, Grass, Ground"
piplup,"Electric, Grass","Fire, Ice, Steel, Water"
plusle,Ground,"Electric, Flying, Steel"
poipole,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
politoed,"Electric, Grass","Fire, Ice, Steel, Water"
poliwag,"Electric, Grass","Fire, Ice, Steel, Water"
poliwhirl,"Electric, Grass","Fire, Ice, Steel, Water"
poliwrath,"Electric, Fairy, Flying, Grass, Psychic","Bug, Dark, Fire, Ice, Rock, Steel, Water"
poltchageist,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
polteageist,"Dark, Ghost","Bug, Fighting, Normal, Poison"
ponyta,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
poochyena,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
pop-star-pikachu,Ground,"Electric, Flying, Steel"
popplio,"Electric, Grass","Fire, Ice, Steel, Water"
porygon-z,Fighting,Ghost
porygon,Fighting,Ghost
porygon2,Fighting,Ghost
primal-groudon,"Ground, Water","Bug, Electric, Fairy, Fire, Poison, Steel"
primal-kyogre,"Electric, Grass","Fire, Ice, Steel, Water"
primarina,"Electric, Grass, Poison","Bug, Dark, Dragon, Fighting, Fire, Ice, Water"
primeape,"Fairy, Flying, Psychic","Bug, Dark, Rock"
prinplup,"Electric, Grass","Fire, Ice, Steel, Water"
probopass,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
professor-pikachu,Ground,"Electric, Flying, Steel"
psyduck,"Electric, Grass","Fire, Ice, Steel, Water"
pumpkaboo-average-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
pumpkaboo-large-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
pumpkaboo-small-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
pumpkaboo-super-size,"Dark, Fire, Flying, Ghost, Ice","Electric, Fighting, Grass, Ground, Normal, Water"
pupitar,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
purrloin,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
purugly,Fighting,Ghost
pyroar,"Fighting, Ground, Rock, Water","Bug, Fairy, Fire, Ghost, Grass, Ice, Steel"
pyukumuku,"Electric, Grass","Fire, Ice, Steel, Water"
quagsire,Grass,"Electric, Fire, Poison, Rock, Steel"
quaquaval,"Electric, Fairy, Flying, Grass, Psychic","Bug, Dark, Fire, Ice, Rock, Steel, Water"
quaxly,"Electric, Grass","Fire, Ice, Steel, Water"
quaxwell,"Electric, Grass","Fire, Ice, Steel, Water"
quilava,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
quilladin,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
qwilfish,"Electric, Ground, Psychic","Bug, Fairy, Fighting, Fire, Ice, Poison, Steel, Water"
raboot,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
rabsca,"Bug, Dark, Fire, Flying, Ghost, Rock","Fighting, Grass, Ground, Psychic"
raichu,Ground,"Electric, Flying, Steel"
raikou,Ground,"Electric, Flying, Steel"
ralts,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
rampardos,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
rapidash,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
raticate,Fighting,Ghost
rattata,Fighting,Ghost
rayquaza,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
regice,"Fighting, Fire, Rock, Steel",Ice
regidrago,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
regieleki,Ground,"Electric, Flying, Steel"
regigigas,Fighting,Ghost
regirock,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
registeel,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
relicanth,"Electric, Fighting, Grass, Ground","Fire, Flying, Ice, Normal, Poison"
rellor,"Fire, Flying, Rock","Fighting, Grass, Ground"
remoraid,"Electric, Grass","Fire, Ice, Steel, Water"
reshiram,"Dragon, Ground, Rock","Bug, Electric, Fire, Grass, Steel"
reuniclus,"Bug, Dark, Ghost","Fighting, Psychic"
revavroom,"Fire, Ground","Bug, Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Rock, Steel"
rhydon,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
rhyhorn,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
rhyperior,"Fighting, Grass, Ground, Ice, Steel, Water","Electric, Fire, Flying, Normal, Poison, Rock"
ribombee,"Fire, Flying, Poison, Rock, Steel","Bug, Dark, Dragon, Fighting, Grass, Ground"
rillaboom,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
riolu,"Fairy, Flying, Psychic","Bug, Dark, Rock"
roaring-moon,"Bug, Dragon, Fairy, Fighting, Ice","Dark, Electric, Fire, Ghost, Grass, Psychic, Water"
rock-star-pikachu,Ground,"Electric, Flying, Steel"
rockruff,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
roggenrola,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
rolycoly,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
rookidee,"Electric, Ice, Rock","Bug, Fighting, Grass, Ground"
roselia,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
roserade,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
rotom-fan,"Ice, Rock","Bug, Fighting, Flying, Grass, Ground, Steel"
rotom-frost,"Fighting, Fire, Ground, Rock","Electric, Flying, Ice"
rotom-heat,"Ground, Rock, Water","Bug, Electric, Fairy, Fire, Flying, Grass, Ice, Steel"
rotom-mow,"Bug, Fire, Ice, Poison","Electric, Grass, Steel, Water"
rotom-wash,"Grass, Ground","Fire, Flying, Ice, Steel, Water"
rotom,"Dark, Ghost, Ground","Bug, Electric, Fighting, Flying, Normal, Poison, Steel"
rowlet,"Fire, Flying, Ice, Poison, Rock","Fighting, Grass, Ground, Water"
rufflet,"Electric, Ice, Rock","Bug, Ghost, Grass, Ground"
runerigus,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
sableye,Fairy,"Fighting, Normal, Poison, Psychic"
salamence,"Dragon, Fairy, Ice, Rock","Bug, Fighting, Fire, Grass, Ground, Water"
salandit,"Ground, Psychic, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Poison, Steel"
salazzle,"Ground, Psychic, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Poison, Steel"
samurott,"Electric, Grass","Fire, Ice, Steel, Water"
sandaconda,"Grass, Ice, Water","Electric, Poison, Rock"
sandile,"Bug, Fairy, Fighting, Grass, Ice, Water","Dark, Electric, Ghost, Poison, Psychic, Rock"
sandshrew,"Grass, Ice, Water","Electric, Poison, Rock"
sandslash,"Grass, Ice, Water","Electric, Poison, Rock"
sandy-shocks,"Grass, Ground, Ice, Water","Electric, Flying, Poison, Rock, Steel"
sandygast,"Dark, Ghost, Grass, Ice, Water","Bug, Electric, Fighting, Normal, Poison, Rock"
sawk,"Fairy, Flying, Psychic","Bug, Dark, Rock"
sawsbuck,"Bug, Fighting, Fire, Flying, Ice, Poison","Electric, Ghost, Grass, Ground, Water"
scatterbug,"Fire, Flying, Rock","Fighting, Grass, Ground"
sceptile,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
scizor,Fire,"Bug, Dragon, Fairy, Grass, Ice, Normal, Poison, Psychic, Steel"
scolipede,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
scorbunny,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
scovillain,"Flying, Poison, Rock","Electric, Fairy, Grass, Steel"
scrafty,"Fairy, Fighting, Flying","Dark, Ghost, Psychic, Rock"
scraggy,"Fairy, Fighting, Flying","Dark, Ghost, Psychic, Rock"
scream-tail,"Ghost, Poison, Steel","Dragon, Fighting, Psychic"
scyther,"Electric, Fire, Flying, Ice, Rock","Bug, Fighting, Grass, Ground"
seadra,"Electric, Grass","Fire, Ice, Steel, Water"
seaking,"Electric, Grass","Fire, Ice, Steel, Water"
sealeo,"Electric, Fighting, Grass, Rock","Ice, Water"
seedot,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
seel,"Electric, Grass","Fire, Ice, Steel, Water"
seismitoad,Grass,"Electric, Fire, Poison, Rock, Steel"
sentret,Fighting,Ghost
serperior,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
servine,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
seviper,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
sewaddle,"Bug, Fire, Flying, Ice, Poison, Rock","Electric, Fighting, Grass, Ground, Water"
shadow-abomasnow,"Bug, Fighting, Fire, Flying, Poison, Rock, Steel","Electric, Grass, Ground, Water"
shadow-abra,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-absol,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-aerodactyl,"Electric, Ice, Rock, Steel, Water","Bug, Fire, Flying, Ground, Normal, Poison"
shadow-aggron,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shadow-aipom,Fighting,Ghost
shadow-alakazam,"Bug, Dark, Ghost","Fighting, Psychic"
shadow-alolan-diglett,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
shadow-alolan-dugtrio,"Fighting, Fire, Ground, Water","Bug, Dragon, Electric, Fairy, Flying, Normal, Poison, Psychic, Rock, Steel"
shadow-alolan-exeggutor,"Bug, Dragon, Fairy, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-alolan-geodude,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
shadow-alolan-golem,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
shadow-alolan-graveler,"Fighting, Grass, Ground, Water","Electric, Fire, Flying, Normal, Poison"
shadow-alolan-grimer,Ground,"Dark, Ghost, Grass, Poison, Psychic"
shadow-alolan-marowak,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
shadow-alolan-muk,Ground,"Dark, Ghost, Grass, Poison, Psychic"
shadow-alolan-ninetales,"Fire, Poison, Rock, Steel","Bug, Dark, Dragon, Ice"
shadow-alolan-raticate,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-alolan-rattata,"Bug, Fairy, Fighting","Dark, Ghost, Psychic"
shadow-alolan-sandshrew,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Grass, Ice, Ice, Normal, Poison, Psychic"
shadow-alolan-sandslash,"Fighting, Fire, Ground","Bug, Dragon, Fairy, Grass, Ice, Ice, Normal, Poison, Psychic"
shadow-ambipom,Fighting,Ghost
shadow-amoonguss,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-ampharos,Ground,"Electric, Flying, Steel"
shadow-anorith,"Rock, Steel, Water","Normal, Poison"
shadow-arbok,"Ground, Psychic","Bug, Fairy, Fighting, Grass, Poison"
shadow-arcanine,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-armaldo,"Rock, Steel, Water","Normal, Poison"
shadow-aron,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shadow-articuno,"Electric, Fire, Rock, Steel","Bug, Grass, Ground"
shadow-bagon,"Dragon, Fairy, Ice","Electric, Fire, Grass, Water"
shadow-banette,"Dark, Ghost","Bug, Fighting, Normal, Poison"
shadow-barboach,Grass,"Electric, Fire, Poison, Rock, Steel"
shadow-bastiodon,"Fighting, Ground, Water","Bug, Dragon, Fairy, Flying, Ice, Normal, Poison, Psychic, Rock"
shadow-bayleef,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-beedrill,"Fire, Flying, Psychic, Rock","Bug, Fairy, Fighting, Grass, Poison"
shadow-beldum,"Dark, Fire, Ghost, Ground","Dragon, Fairy, Flying, Grass, Ice, Normal, Poison, Psychic, Rock, Steel"
shadow-bellossom,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-bellsprout,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-bibarel,"Electric, Fighting, Grass","Fire, Ghost, Ice, Steel, Water"
shadow-bidoof,Fighting,Ghost
shadow-blastoise,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-blaziken,"Flying, Ground, Psychic, Water","Bug, Dark, Fire, Grass, Ice, Steel"
shadow-blitzle,Ground,"Electric, Flying, Steel"
shadow-boldore,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-bulbasaur,"Fire, Flying, Ice, Psychic","Electric, Fairy, Fighting, Grass, Water"
shadow-cacnea,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-cacturne,"Bug, Fairy, Fighting, Fire, Flying, Ice, Poison","Dark, Electric, Ghost, Grass, Ground, Psychic, Water"
shadow-camerupt,"Ground, Water","Bug, Electric, Fairy, Fire, Poison, Steel"
shadow-carvanha,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
shadow-chandelure,"Dark, Ghost, Ground, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ice, Normal, Poison, Steel"
shadow-charizard,"Electric, Rock, Water","Bug, Fairy, Fighting, Fire, Grass, Ground, Steel"
shadow-charmander,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-charmeleon,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-chikorita,"Bug, Fire, Flying, Ice, Poison","Electric, Grass, Ground, Water"
shadow-chimchar,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-cloyster,"Electric, Fighting, Grass, Rock","Ice, Water"
shadow-conkeldurr,"Fairy, Flying, Psychic","Bug, Dark, Rock"
shadow-corphish,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-cradily,"Bug, Fighting, Ice, Steel","Electric, Normal"
shadow-cranidos,"Fighting, Grass, Ground, Steel, Water","Fire, Flying, Normal, Poison"
shadow-crawdaunt,"Bug, Electric, Fairy, Fighting, Grass","Dark, Fire, Ghost, Ice, Psychic, Steel, Water"
shadow-croagunk,"Flying, Ground, Psychic","Bug, Dark, Fighting, Grass, Poison, Rock"
shadow-crobat,"Electric, Ice, Psychic, Rock","Bug, Fairy, Fighting, Grass, Ground, Poison"
shadow-croconaw,"Electric, Grass","Fire, Ice, Steel, Water"
shadow-crustle,"Rock, Steel, Water","Normal, Poison"
shadow-cubone,"Grass, Ice, Water","Electric, Poison, Rock"
shadow-cyndaquil,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-darmanitan,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-darumaka,"Ground, Rock, Water","Bug, Fairy, Fire, Grass, Ice, Steel"
shadow-delibird,"Electric, Fire, Rock, Steel","Bug, Grass, Ground"
shadow-diglett,"Grass, Ice, Water","Electric, Poison, Rock"
